name,category_id,brand,model,price,stock_quantity,min_stock_level,image_url,specs,socket,cores,threads,tdp,ram_type,form_factor,memory,speed,capacity,wattage,efficiency,fans,type,warranty,is_active
LIQUID COOLER AIO - ARGB LE520 WHITE,8,DEEPCOOL,,3808,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - LS520 SE DIGITAL BLACK,8,DEEPCOOL,,4928,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - LS520 SE DIGITAL WHITE,8,DEEPCOOL,,5264,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - LT520 BLACK,8,DEEPCOOL,,5208,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - LT520 WHITE,8,DEEPCOOL,,5320,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK,8,THERMALRIGHT,,4480,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - DF-120 PINK,8,YGT,,1848,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER AIO - DF-120 WHITE,8,YGT,,1848,10,5,,,,,,,,,,,,,,,,10MOS,1
HURRICANE 240 BLACK TEMP,8,OVATION,,3152.80,10,5,,,,,,,,,,,,,,,,10MOS,1
HURRICANE 240 WHITE TEMP,8,OVATION,,3270.40,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROSHEL 240 DIGITAL (WHITE),8,JUNGLE LEOPARD,,3976,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROSHEL 240 DIGITAL (BLACK),8,JUNGLE LEOPARD,,3864,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROBEAT 240 DIGITAL (WHITE),8,JUNGLE LEOPARD,,3192,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROBEAT 240 DIGITAL (BLACK),8,JUNGLE LEOPARD,,3080,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROSHEL 360 DIGITAL (BLACK),8,JUNGLE LEOPARD,,5040,10,5,,,,,,,,,,,,,,,,10MOS,1
ASTROSHEL 360 DIGITAL (WHITE),8,JUNGLE LEOPARD,,5152,10,5,,,,,,,,,,,,,,,,10MOS,1
MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK),8,DEEPCOOL,,7616,10,5,,,,,,,,,,,,,,,,10MOS,1
MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE),8,DEEPCOOL,,9296,10,5,,,,,,,,,,,,,,,,10MOS,1
MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),8,DEEPCOOL,,7616,10,5,,,,,,,,,,,,,,,,10MOS,1
MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE),8,DEEPCOOL,,7504,10,5,,,,,,,,,,,,,,,,10MOS,1
MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),8,DEEPCOOL,,9296,10,5,,,,,,,,,,,,,,,,10MOS,1
LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE,8,THERMALRIGHT,,4592,10,5,,,,,,,,,,,,,,,,10MOS,1
GEFORCE RTX 3070 BATTLE AX 8GB,3,COLORFUL,,31248,10,5,,,,,,,,,,,,,,,,1YR,1
IGAME ULTRA RTX 4060 8GB GDDR6 (WHITE),3,COLORFUL,,20720,10,5,,,,,,,,,,,,,,,,1YR,1
